Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Cole Swider,87,0.14,85,-0.05,172,0.09
Fred VanVleet,5086,1.45,5037,0.23,10123,1.68
Terry Taylor,552,0.24,552,0.16,1104,0.4
Bogdan Bogdanovic,3089,1.57,3084,-1.13,6173,0.44
Isaiah Hartenstein,3287,0.62,3278,0.38,6565,1.0
Derrick Jones Jr.,1804,0.56,1823,1.33,3627,1.89
Klay Thompson,4817,0.25,4787,-0.1,9604,0.15
Cole Anthony,3120,1.25,3130,-0.34,6250,0.9
Jordan Schakel,12,0.07,10,0.03,22,0.1
Scottie Barnes,5354,1.14,5346,0.9,10700,2.04
Keegan Murray,4912,0.77,4895,-1.18,9807,-0.4
Stephen Curry,4156,2.17,4114,0.0,8270,2.17
Josh Okogie,2686,0.1,2717,1.62,5403,1.72
Jamal Murray,4282,0.52,4256,-0.56,8538,-0.04
Alex Len,345,-0.42,345,0.76,690,0.34
Jay Scrubb,62,-0.13,61,-0.29,123,-0.42
Lauri Markkanen,4641,1.52,4640,1.03,9281,2.54
Wendell Moore Jr.,321,-0.66,327,-0.32,648,-0.98
Delon Wright,2443,0.98,2441,1.0,4884,1.98
Jonathan Isaac,246,-0.41,248,0.26,494,-0.14
